"File","RelPath","Title","Words","IsIndex"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\01-test-prep\01-test-prep.md","01-test-prep\01-test-prep.md","""Test Preparation Essentials""","444","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\01-test-prep\02-Understanding Terms.md","01-test-prep\02-Understanding Terms.md","Understanding Terms in Project Management","654","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\01-test-prep\index.md","01-test-prep\index.md","01-Test Preparation Tips and Tactics - Home","322","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\01-stakeholder-communications.md","02-pmbok-06\01-stakeholder-communications.md","Stakeholder Management","173","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\02-risk-responses.md","02-pmbok-06\02-risk-responses.md","Risk Response Strategies","177","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\03-eef-opa-cues.md","02-pmbok-06\03-eef-opa-cues.md","Enterprise Environmental Factors (EEF)","180","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\04-change-config-control.md","02-pmbok-06\04-change-config-control.md","Change & Configuration Control","183","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\05-tailoring.md","02-pmbok-06\05-tailoring.md","Tailoring in PMBOK 6","178","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\02-pmbok-06\index.md","02-pmbok-06\index.md","03-PMBOK 6 Explained","215","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\0-pre-project-requirments.md","03-lifecycle\0-pre-project-requirments.md","""Pre-Project Requirements""","755","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\1-Initiating-process-group.md","03-lifecycle\1-Initiating-process-group.md","""Initiating Process Group""","419","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\2-planning-process-group.md","03-lifecycle\2-planning-process-group.md","""Planning Process Group""","536","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\3-executing-process-group.md","03-lifecycle\3-executing-process-group.md","""Executing Process Group""","592","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","03-lifecycle\4-monitoring-and-controlling-process-group.md","""Executing Process Group""","592","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","03-lifecycle\5-closing-process-group.md","""Closing Process Group""","569","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","03-lifecycle\index.md","02-Lifecycle of a Project â€“ Home","217","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\01-initiating-itto.md","04-ittos\01-initiating-itto.md","""Initiating Process Group â€“ ITTOs""","41","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\02-planning-itto.md","04-ittos\02-planning-itto.md","""Planning Process Group â€“ ITTOs""","88","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\03-executing-itto.md","04-ittos\03-executing-itto.md","""Executing Process Group â€“ ITTOs""","77","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\04-monitor-and-control-itto.md","04-ittos\04-monitor-and-control-itto.md","""Monitoring & Controlling Process Group â€“ ITTOs""","133","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\05-closing-itto.md","04-ittos\05-closing-itto.md","""Closing Process Group â€“ ITTOs""","42","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","04-ittos\index.md","04-Inputs Tasks Tools and Outputs","80","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","05-tlg\01-tlg-ep0-Pilot.md","Episode 0 â€” Manuscript Draft","1992","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","05-tlg\02-tlg-rp1-agile-manifesto.md","""The Fire Beneath the Code""","352","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\index.md","05-tlg\index.md","05-The Lore Door","343","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\1-about.md","1-about.md","1 About JASYTI.","405","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\2-references.md","2-references.md","2 References","260","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\3-glossary.md","3-glossary.md","3 Glossary","3542","False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\index.md","index.md","""CMPA 3302 Knowledge Base Portal""","269","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\readme.md","readme.md","""CMPA 3302 Knowledge Base Repository (ReadMe)""","244","False"
